name,url
The University of Aberdeen,http://www.abdn.ac.uk/
University of Abertay Dundee,http://www.abertay.ac.uk/
Aberystwyth University,http://www.aber.ac.uk/
ALRA (The Academy of Live and Recorded Arts),www.alra.co.uk/
Accrington & Rossendale College,www.accross.ac.uk/
"The College of Agriculture, Food and Rural Enterprise",www.cafre.ac.uk/
American InterContinental University - London,www.regents.ac.uk/aiul
Anglia Ruskin University,www.anglia.ac.uk/
Anglo European College of Chiropractic,www.aecc.ac.uk
Askham Bryan College,www.askham-bryan.ac.uk/
Aston University,www.aston.ac.uk/
Bangor University,www.bangor.ac.uk/
Barking and Dagenham College,www.barkingdagenhamcollege.ac.uk/
Barony College,www.barony.ac.uk/
Basingstoke College of Technology,www.bcot.ac.uk/
University of Bath,www.bath.ac.uk/
Bath Spa University,www.bathspa.ac.uk/
City of Bath College,www.citybathcoll.ac.uk/
University of Bedfordshire,www.beds.ac.uk/
Bedford College,www.bedford.ac.uk/
"Birkbeck College, University of London",www.bbk.ac.uk
Birmingham City University,www.bcu.ac.uk/
Birmingham Metropolitan College,www.bmetc.ac.uk/
University of Birmingham,www.birmingham.ac.uk/
University College Birmingham,http://www.ucb.ac.uk/
Bishop Burton College,www.bishopburton.ac.uk/
Bishop Grosseteste University College Lincoln,www.bishopg.ac.uk/
Blackburn College,www.blackburn.ac.uk/
Blackpool and The Fylde College (An Associate College of Lancaster University),www.blackpool.ac.uk/
University of Bolton,www.bolton.ac.uk/
Bournemouth University,https://home.bournemouth.ac.uk/
The Arts University College at Bournemouth (Formerly Arts Institute at Bournemouth),www.aub.ac.uk/
BPP University College Of Professional Studies,www.bpp.com/
University of Bradford,www.bradford.ac.uk/
Bradford College: An Associate College of Leeds Metropolitan University,https://www.bradfordcollege.ac.uk/
Bridgwater College,www.bridgwater.ac.uk/
University of Brighton,www.brighton.ac.uk/
Brighton and Sussex Medical School,www.bsms.ac.uk/
City of Bristol College,www.cityofbristol.ac.uk/
University of Bristol,www.bris.ac.uk/
Bristol Filton College,www.sgscol.ac.uk/
"University of the West of England, Bristol",www.uwe.ac.uk/
British College of Osteopathic Medicine,www.bcom.ac.uk/
Brooklands College,www.brooklands.ac.uk/
Brunel University,www.brunel.ac.uk/
British School of Osteopathy,www.bso.ac.uk/
University of Buckingham,www.buckingham.ac.uk/
Buckinghamshire New University,www.bucks.ac.uk/
University of Cambridge,www.cam.ac.uk/
Canterbury Christ Church University,www.canterbury.ac.uk/
"Capel Manor College, Enfield, Middlesex",www.capel.ac.uk/
Cardiff University,www.cardiff.ac.uk/
"University of Wales Institute, Cardiff",www.cardiffmet.ac.uk/
Castle College Nottingham,www.centralnottingham.ac.uk/
Coleg Sir Gar / Carmarthenshire College,www.colegsirgar.ac.uk/
University of Central Lancashire,www.uclan.ac.uk/
"Central School of Speech and Drama, University of London",https://www.cssd.ac.uk/
University of Chester,www.chester.ac.uk/
